"V1","V2","V3","V4","V5","V6","V7"
"Watermelons","744290.435091455","-47146.8324008511","7.65344434025965","756.444777887394","-0.0121002189460467","5121517.12249506"
"Mangoes, mangosteens, guavas","358201.671062642","-27568.1257061556","42.2355244191751","516.185294480128","-0.0294707767218094","610491.300945208"
"Fruit, tropical fresh nes","-327430.466394309","20766.7757993493","44.364193013927","-339.510708806734","-0.0276049777124365","583374.031062557"
"Fruit, fresh nes","171185.760580554","-12904.9708975162","51.5337976243594","225.773092965941","-0.0363166665879925","935497.07760583"
"Chillies and peppers, dry","173926.499234376","-12667.4271911844","0.320088644180667","238.089947217191","0.000263402420860923","712232.776958388"
"Cereals,Total","63399.4226746901","-4895.17150890011","7.55867240012488","91.24524050905","-0.00487214778230665","23311.9859686604"
"Roots and Tubers,Total","699454.075195069","-52691.6758640967","20.725856913296","983.967992593914","-0.0110830794778237","2312512.34170713"
"Pulses,Total","-10956.7004124013","736.317840077811","2.12228995020984","-12.939682802396","-0.0013500950953638","8586.72538166271"
"Treenuts,Total","82763.4960364524","-5140.51578175668","-9.69027604923449","83.8401392035565","0.00621543175895366","68404.6498501367"
"Oilcrops Primary","13334.7227228568","-969.043433650186","1.70394233133925","17.0087781375294","-0.000965954215924618","1336.25774339306"
"Vegetables Primary","-4291066.92861546","324803.004006293","-263.368972630665","-5976.69983272939","0.183674704862401","30691761.6673068"
"Fibre Crops Primary","7983.34621898248","-544.678610374645","0.935578660572154","9.41105249285823","-0.000790161380665009","10437.2761406683"
"Vegetables&Melons, Total","-4291066.92861546","324803.004006293","-263.368972630665","-5976.69983272939","0.183674704862401","30691761.6673068"
"Fruit excl Melons,Total","493415.43294066","-35401.0038839937","7.82161108320684","640.064502770445","-0.00559626595356486","594352.230769788"
"Citrus Fruit,Total","274843.129823922","-23430.067753343","79.4711660735081","457.996856375469","-0.0567716208723012","1624889.81240949"
"Coarse Grain, Total","24948.7249266696","-2050.84539958443","6.95444268392287","38.948737360367","-0.00455727141420385","14936.6857410504"
"Cereals (Rice Milled Eqv)","48234.7034141289","-3771.13167999355","7.19884320688979","70.5865432843903","-0.00467107272580988","18803.4951187162"
"Oilcakes Equivalent","16195.2236867679","-1175.45349531306","2.18578815331228","20.5654631362453","-0.00125194954921756","2109.54140786923"
