"V1","V2","V3","V4","V5","V6","V7","V8"
"Onions, dry","-57538.1464762231","2378.20334015394","-18.362449689418","-36.1629875081146","0.00575251630558425","22.8762835575976","24718564.9625694"
"Garlic","47668.0664814148","-224.565406693566","33.9069171149407","27.6961466034572","-0.0604064497810883","-28.2220314224542","1693239.56677784"
"Beans, green","265324.118342723","-24406.4160310037","21.6531557487323","471.207021904737","-0.0122736490711142","24.1350651150696","4636785.50393309"
"Carrots and turnips","503451.441398207","-43422.9323042336","13.5091976362404","805.656746753739","-0.0106367536454487","44.346346196189","4777040.78759228"
"Vegetables, fresh nes","23297.9335815593","-5753.90622709763","-0.82804180746423","99.183190456411","0.0000241698317847871","33.4894312434715","2493760.39030503"
"Bananas","-1660669.59493813","105060.858340563","-83.9957038460033","-1984.97712722187","0.0238315816725778","175.589613130784","118530146.534311"
"Watermelons","712365.650061039","-16654.8124530744","112.85280300206","347.512869728459","-0.117102341293439","-261.476835932182","22476958.7450796"
"Mangoes, mangosteens, guavas","1333256.78587844","-95697.1361427654","-5.01965742096835","1765.91170702813","0.000875864194955114","-14.4025227241772","15855451.2418218"
"Fruit, fresh nes","-26778.1599853733","1145.14780365225","0.935827477547678","-22.8178501003213","-0.000331664162013915","8.51506863679192","962868.869025175"
"Coffee, green","-25287.9900254871","1153.76874065948","-1.14754284360968","-21.1420517318218","0.000426598379362434","5.40077854675719","183364.976287911"
"Chillies and peppers, dry","328235.146122676","-28447.4829077104","1.25348268385434","520.246970343568","-0.000407901847744596","31.0507178071946","4194335.8658791"
"Cereals,Total","-30744.31939015","799.123488156282","0.6337249085281","-14.5955242490021","-0.000125203164569634","10.2160779729445","64138.4566660144"
"Roots and Tubers,Total","-138539.170890526","-1779.56351840715","1.99040467394977","30.2508861372874","-0.000926963684940237","85.9726198668033","9785612.43807719"
"Pulses,Total","-13109.3379895778","491.121832057154","0.275435603609212","-9.36063139887932","-0.0000468887490490042","3.47299752129275","33584.1570255306"
"Oilcrops Primary","1638.67403570202","-279.514174317935","-0.07716215802827","4.5225757294811","0.00017062795580151","1.42345602633302","46087.6760844432"
"Vegetables Primary","327313.461238923","-19924.2994902957","-5.38671580006718","383.409069481477","0.00129746868602165","-29.4743062521419","24551696.0634684"
"Vegetables&Melons, Total","327313.461238923","-19924.2994902957","-5.38671580006718","383.409069481477","0.00129746868602165","-29.4743062521419","24551696.0634684"
"Fruit excl Melons,Total","4708551.35949105","-246139.920687404","25.9757205847743","4879.61259112243","-0.00618943921883678","-819.968118045154","7883146902.74033"
